Time [s],Latitude [deg],Longitude [deg],Altitude [m],Vel N [m/s],Vel E [m/s],Vel D [m/s],Roll [deg],Pitch [deg],Yaw [deg]
29.4,-0.00191204091918313,0.00445253237806642,0.0227866904945851,123.817212705855,-15.5907655947686,0.00534353435227786,-0.00484571408464902,-0.00245332057966296,-7.17677595224676
29.6,-0.00168204073924152,0.00439628379274123,0.0215055096925806,129.218739360673,-45.2675450666098,0.00726685565095408,-0.00470707680445317,-0.00304093770841836,-19.3062347126609
29.8,-0.0014490316110366,0.00429743137999028,0.0199666636134089,127.306800087502,-62.3908251960591,0.00789921826914508,-0.00453515254906449,-0.00319236577030288,-26.1086620902189
30,-0.00122496219967544,0.00418122319919165,0.0184313519946928,119.702094078263,-64.357064441096,0.0072557140409657,-0.00435696677788673,-0.00305889358406921,-28.2644125578472
30.2,-0.00101788738788597,0.00407534044725412,0.0171339330777113,108.998167648548,-51.1100205181171,0.00557176457215292,-0.00420053501798967,-0.00265178750266642,-25.1222166085073
30.4,-0.000830745445707416,0.00400519627511691,0.0162494853563045,98.1491312431417,-25.2019468892022,0.00318480155640088,-0.00409044433093343,-0.00180075168409307,-14.4008396551086
30.6,-0.000661302482682266,0.00398954025824032,0.0158839413351261,89.8144818632647,8.60392495583109,0.000437533706730164,-0.00404397726356141,-0.000277845974192091,5.47204455450347
30.8,-0.000503216806255637,0.00403714693905161,0.0160775136698248,85.797650284608,44.125408473397,-0.00235560000476198,-0.00406838820122388,0.00139890834840198,27.2165882423347
31,-0.0003479452783036,0.00414518437285666,0.0168087409805206,86.6922233121624,74.8119512592399,-0.00488596515172901,-0.0041597619321409,0.00244473846445881,40.7928910386095
31.2,-0.000187045794577431,0.00429956707487017,0.0179921758579108,91.8045182549832,94.870101795559,-0.00681950260725728,-0.00430363371574267,0.00295969187482473,45.9408306900907
31.4,-1.4357576890174e-05,0.00447724906651955,0.0194735681506234,99.3626664321597,100.265298934583,-0.00781010597380316,-0.00447727211562198,0.00317006915696686,45.2590653083316
31.6,0.000172422524208229,0.00465006952039705,0.0210344031408469,106.962496132025,89.4223557845115,-0.00757931769598486,-0.00465326508688127,0.00311483038520905,39.8961621734345
