Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s],Roll [deg],Pitch [deg],Yaw [deg]
132,6378269,-480.245657366531,263.353400223258,0.999999992888192,-7.88785831683856,-8.16774441541542,-0.00492778468092118,5.03427261737855,-135.999115260811
133,6378270,-487.204783440838,254.631171013614,0.999999992888188,-6.00859505311697,-9.26537513918927,-0.00494538477995436,5.1747080313822,-147.037040438905
134,6378271,-492.231250124427,244.852529498153,0.999999992888192,-4.03471837203004,-10.2735783090782,-0.00494516183864319,5.17645408854986,-158.559137139907
135,6378272,-495.267712716841,234.126731603917,0.99999999288819,-2.04138904702664,-11.1538967400774,-0.00492711010888567,5.03858892230514,-169.628917384235
136,6378273,-496.333304275413,222.597634627927,0.99999999288819,-0.105844101030955,-11.8758270259654,-0.00489193443055501,4.8110537036378,-179.489737972284
137,6378274,-495.524022907257,210.435094743692,0.999999992888192,1.69599179270943,-12.4180375416877,-0.00484102260729757,4.55932581957972,172.222621459188
138,6378275,-493.009724117598,197.825391985929,0.99999999288819,3.29288185718977,-12.7690891487047,-0.00477638979492474,4.33378321366779,165.539372594697
139,6378276,-489.02780830126,184.961194640798,0.99999999288819,4.62148606618578,-12.9276337494859,-0.00470059787912619,4.1629682249501,160.32833171307
140,6378277,-483.873844632336,172.031586522542,0.999999992888192,5.62925578608096,-12.9020924731905,-0.00461665371498699,4.060275904137,156.427846226418
141,6378278,-477.889514183457,159.212665651126,0.999999992888188,6.27687968266364,-12.7098414575208,-0.0045278890253268,4.03206611716237,153.716859296931
142,6378279,-471.44838046325,146.659182466288,0.999999992888192,6.54016569191247,-12.3759576244149,-0.00443782762161009,4.08310857025415,152.145235508768
143,6378280,-464.940098780632,134.497622282598,0.999999992888188,6.41126864077405,-11.9315983291745,-0.004350045097079,4.2193186731932,151.749064446655
144,6378281,-458.753752000562,122.821053695713,0.999999992888194,5.899202239701,-11.4121062496043,-0.00426802658459132,4.44811913190192,152.664185054815
145,6378282,-453.261045647469,111.68596652491,0.999999992888192,5.02960632620948,-10.8549435360355,-0.00419502765010863,4.77545651855294,155.139216827348
146,6378283,-448.80010764581,101.111214771295,0.99999999288819,3.84377394351247,-10.2975664737515,-0.00413394484165229,5.19612735796006,159.530584508528
147,6378284,-445.660616487909,91.0790675902608,0.99999999288819,2.39697653666462,-9.77535340012324,-0.00408720055211815,5.67223521219439,166.222191672843
148,6378285,-444.070927076807,81.5382601986007,0.99999999288819,0.756157679946122,-9.3196943423178,-0.00405664625188439,6.10342014817435,175.361022462448
149,6378286,-444.187778228513,72.4088326214942,0.999999992888192,-1.0029051800922,-8.9563410591068,-0.00404348920552437,6.33139008247828,-173.611248082249
150,6378287,-446.089053587428,63.5884524921641,0.999999992888192,-2.79884682876544,-8.70410141788026,-0.00404824424853524,6.24247911680572,-162.174985362171
151,6378288,-449.769933526011,54.959843345497,0.99999999288819,-4.54822501897138,-8.57394309762449,-0.00407071350992449,5.88406415682794,-152.055754382879
152,6378289,-455.142625512864,46.3988857050746,0.99999999288819,-6.16914001940525,-8.56854946903218,-0.00410999415092645,5.41250389788552,-144.247399768096
153,6378290,-462.039701245119,37.7829273883327,0.999999992887961,-7.58480163057247,-8.68234630927015,-0.00416451470237236,4.95987729994416,-138.860187764992
154,6378291,-470.220907794703,28.9988332849154,0.999999992887957,-8.72688415131119,-8.90199300462324,-0.00423209749091278,4.58907118891297,-135.569360991109
